Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home Page,19122,29,28,42,46,51,12,63,0.000%,318.58849,59.73,38.27
TOTAL,19122,29,28,42,46,51,12,63,0.000%,318.58849,59.73,38.27
