Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home Page,232617,2,2,3,4,5,0,176,0.000%,3882.51494,726.87,466.36
TOTAL,232617,2,2,3,4,5,0,176,0.000%,3882.51494,726.87,466.36
